[7l----system---- ----total-cpu-usage---- ------memory-usage-----
     time     |usr sys idl wai hiq siq| used  buff  cach  free
13-06 16:18:49|  5   2  89   4   0   0| 424M 6728k 35.0M 3669M
13-06 16:18:51| 10   1  88   1   0   0| 562M 9732k 67.8M 3495M
13-06 16:18:53| 20   1  78   1   0   0| 715M 12.5M 85.4M 3322M
13-06 16:18:55| 25   2  73   0   0   0|1184M 13.1M  100M 2837M
13-06 16:18:57| 10   0  88   1   0   0| 473M 16.2M  113M 3532M
13-06 16:18:59| 14   4  72   9   0   0|1082M 16.2M  438M 2598M
13-06 16:19:01|  7   4  81   8   0   0|1646M 16.2M  766M 1706M
13-06 16:19:03|  7   4  82   7   0   0|2088M 16.2M 1068M  962M
13-06 16:19:05|  8   4  82   6   0   0|2430M 16.2M 1350M  338M
13-06 16:19:07|  8   4  82   6   0   0|2485M 10.1M 1505M  135M
13-06 16:19:09|  8   4  81   7   0   0|2508M 10.1M 1478M  139M
13-06 16:19:11|  8   4  82   6   0   0|2519M 10.1M 1471M  135M
13-06 16:19:13|  8   4  82   5   0   0|2517M 10.1M 1430M  178M
13-06 16:19:15|  8   4  82   6   0   0|2522M 10.4M 1484M  118M
13-06 16:19:17|  8   4  82   5   0   0|2544M 10.3M 1449M  132M
13-06 16:19:19| 11   4  79   5   0   0|2543M 10.5M 1457M  124M
13-06 16:19:21|  8   4  83   5   0   0|2591M 10.4M 1386M  147M
13-06 16:19:23|  8   4  83   5   0   0|2625M 10.3M 1362M  137M
13-06 16:19:25|  8   4  82   5   0   0|2627M 10.2M 1360M  137M
13-06 16:19:27|  8   4  82   5   0   0|2685M 10.3M 1312M  128M
13-06 16:19:29|  7   4  82   7   0   0|2693M 10.3M 1311M  120M
13-06 16:19:31|  8   4  83   5   0   0|2695M 10.3M 1290M  139M
13-06 16:19:33|  8   4  83   5   0   0|2697M 5836k 1293M  138M
13-06 16:19:35|  8   4  83   6   0   0|2698M 4528k 1308M  124M
13-06 16:19:37|  8   4  82   5   0   0|2710M 4280k 1287M  133M
13-06 16:19:39|  8   4  82   5   0   0|2709M 4260k 1285M  136M
13-06 16:19:41|  8   4  82   5   0   0|2705M 4244k 1286M  139M
13-06 16:19:43|  8   4  83   5   0   0|2707M 4248k 1291M  133M
13-06 16:19:45|  8   4  82   5   0   0|2705M 4208k 1281M  144M
13-06 16:19:47|  8   4  82   6   0   0|2710M 4216k 1278M  142M
13-06 16:19:49|  8   4  83   5   0   0|2709M 4224k 1280M  141M
13-06 16:19:51|  8   4  83   5   0   0|2708M 4232k 1283M  139M
13-06 16:19:53|  8   4  82   5   0   0|2707M 4212k 1285M  137M
13-06 16:19:55|  7   4  82   7   0   0|2706M 4208k 1298M  126M
13-06 16:19:57|  8   4  83   5   0   0|2705M 4216k 1292M  134M
13-06 16:19:59|  8   4  82   6   0   0|2706M 4224k 1286M  138M
13-06 16:20:01|  8   4  82   6   0   0|2706M 4212k 1286M  138M
13-06 16:20:03|  8   4  80   7   0   0|2699M 4736k 1298M  132M
13-06 16:20:05|  8   4  81   7   0   0|2701M 4672k 1302M  127M
13-06 16:20:07|  8   4  81   7   0   0|2701M 4492k 1290M  139M
13-06 16:20:09|  8   4  81   7   0   0|2703M 4248k 1299M  128M
13-06 16:20:11|  8   4  81   7   0   0|2703M 4264k 1296M  131M
13-06 16:20:13|  8   4  81   7   0   0|2705M 4256k 1284M  142M
13-06 16:20:15|  8   4  81   7   0   0|2706M 4236k 1287M  138M
13-06 16:20:17|  8   4  81   7   0   0|2707M 4244k 1289M  134M
13-06 16:20:19|  8   4  81   6   0   0|2709M 4252k 1276M  145M
13-06 16:20:21|  7   4  81   8   0   0|2708M 4260k 1286M  136M
13-06 16:20:23|  8   4  82   6   0   0|2711M 4208k 1285M  134M
13-06 16:20:25|  8   4  81   7   0   0|2711M 4212k 1278M  142M
13-06 16:20:27|  8   4  81   6   0   0|2709M 4212k 1291M  130M
13-06 16:20:29|  8   4  81   7   0   0|2712M 4168k 1284M  134M
13-06 16:20:31|  8   4  82   6   0   0|2715M 4148k 1278M  137M
13-06 16:20:33|  9   4  82   5   0   0|2725M 4124k 1272M  134M
13-06 16:20:35|  8   4  82   6   0   0|2725M 4128k 1264M  142M
13-06 16:20:37|  8   4  82   6   0   0|2724M 4124k 1269M  137M
13-06 16:20:39|  8   4  82   6   0   0|2731M 4124k 1278M  121M
13-06 16:20:41|  8   4  83   5   0   0|2731M 4132k 1259M  140M
13-06 16:20:43|  8   4  82   6   0   0|2731M 4120k 1274M  125M
13-06 16:20:45|  7   4  82   7   0   0|2730M 4124k 1276M  125M
13-06 16:20:47|  8   4  83   5   0   0|2728M 4140k 1268M  134M
13-06 16:20:49|  8   4  83   5   0   0|2728M 4128k 1267M  136M
13-06 16:20:51|  8   4  83   5   0   0|2728M 4124k 1269M  134M
13-06 16:20:53|  8   4  82   5   0   0|2727M 4128k 1274M  129M
13-06 16:20:55|  8   4  82   5   0   0|2729M 4128k 1263M  138M
13-06 16:20:57|  8   4  82   5   0   0|2727M 4100k 1270M  133M
13-06 16:20:59|  8   4  82   5   0   0|2729M 4096k 1261M  140M
13-06 16:21:01|  8   4  82   6   0   0|2732M 4084k 1272M  127M
13-06 16:21:03|  8   4  82   6   0   0|2733M 4072k 1254M  144M
13-06 16:21:05|  8   4  83   5   0   0|2730M 4080k 1267M  134M
13-06 16:21:07|  8   4  83   5   0   0|2732M 4076k 1261M  138M
13-06 16:21:09|  8   4  82   5   0   0|2730M 4092k 1268M  133M
13-06 16:21:11|  8   4  83   5   0   0|2730M 4108k 1265M  135M
13-06 16:21:13|  8   4  81   6   0   0|2729M 4104k 1269M  133M
13-06 16:21:15|  8   4  82   5   0   0|2734M 4108k 1253M  144M
13-06 16:21:17|  7   4  83   6   0   0|2733M 4120k 1268M  130M
